Duration,Activity,Revenue,Source
8.5,4,0,GoogleSearch
12.8,1,0,GoogleSearch
12.2,2,0,GoogleSearch
12.9,2,0,GoogleSearch
11.6,1,0,GoogleSearch
6.2,0,0,GoogleSearch
85.5,5,17.2,GoogleSearch
10.5,2,0,GoogleSearch
10,3,0,GoogleSearch
12,3,0,GoogleSearch
7.8,1,0,GoogleSearch
8.8,3,0,GoogleSearch
10.9,2,0,GoogleSearch
9.4,1,0,GoogleSearch
57.5,8,0,Directlink
94.4,2,47.3,GoogleSearch
9.3,3,0,GoogleSearch
6.6,1,0,GoogleSearch
7.9,2,0,GoogleSearch
63.3,1,63.4,GoogleSearch
12,1,0,GoogleSearch
48.1,6,0,Directlink
5.6,3,0,GoogleSearch
4.4,2,0,GoogleSearch
12.9,3,0,GoogleSearch
7.1,2,0,GoogleSearch
5.9,1,0,GoogleAdWord
11.8,2,0,GoogleSearch
9.1,2,0,GoogleSearch
12,1,0,GoogleSearch
8.7,3,0,GoogleSearch
10.7,2,0,GoogleSearch
8.7,2,0,GoogleSearch
10.1,3,0,GoogleSearch
15.7,1,0,GoogleSearch
87.1,1,87.2,GoogleSearch
87.5,5,17.6,GoogleSearch
11.4,3,0,GoogleSearch
9.5,2,0,GoogleSearch
10.4,3,0,GoogleSearch
7,2,0,GoogleSearch
9.1,2,0,GoogleSearch
11.4,3,0,GoogleSearch
7.7,3,0,GoogleSearch
12.1,2,0,GoogleSearch
9.1,1,0,GoogleSearch
13,2,0,GoogleSearch
10.2,1,0,GoogleSearch
9.4,2,0,GoogleSearch
9.9,2,0,GoogleSearch
10.7,3,0,GoogleSearch
12.2,3,0,GoogleSearch
99.6,8,12.6,GoogleSearch
9.4,2,0,GoogleSearch
10.9,2,0,GoogleSearch
12,1,0,GoogleSearch
78.9,18,4.5,GoogleSearch
10.3,2,0,GoogleSearch
11.6,2,0,GoogleSearch
8.8,1,0,GoogleSearch
9.6,2,0,GoogleSearch
14.3,3,0,GoogleSearch
80.9,12,6.8,GoogleSearch
10.5,4,0,GoogleSearch
83.3,9,9.4,GoogleSearch
10.4,2,3.1,GoogleSearch
11.4,2,0,GoogleSearch
10,3,0,GoogleSearch
15.4,2,0,GoogleAdWord
9.2,0,0,GoogleSearch
7.5,2,0,GoogleSearch
10.9,1,0,GoogleSearch
11.8,2,0,GoogleSearch
9.4,2,0,GoogleSearch
11.1,2,0,GoogleSearch
9.1,3,0,GoogleSearch
10.2,1,0,GoogleSearch
10.1,2,0,GoogleSearch
4.1,1,0,GoogleAdWord
71.6,8,0,Directlink
8,3,0,GoogleSearch
9.9,3,0,GoogleSearch
68.5,7,27.9,Directlink
11.6,1,0,GoogleSearch
1,2,0,GoogleAdWord
91.2,5,18.4,GoogleSearch
10.8,1,0,GoogleSearch
10.3,3,0,GoogleSearch
12.7,3,0,GoogleSearch
1,3,0,GoogleAdWord
112.2,16,7.1,GoogleSearch
4.5,2,0,GoogleSearch
